酒名,url,酒譜,介紹,步驟,口味,評論
Aviation,https://www.liquor.com/recipes/aviation/,"{'gin': '2 ounce', 'maraschino liqueur': '1/2 ounce', 'crème de violette or crème yvette': '1/2 ounce', 'Fresh lemon juice': '3/4 ounce'}","['A classic gin sipper dating back to the turn of the 20th century, the Aviation was all but forgotten until about a decade ago. That’s when its secret-weapon ingredient, crème de violette, reappeared on the American market. Today, the cocktail is distinguished by its purple-bluish hue and floral, citrus flavors. And to that, everyone say, welcome back!']","['Add all ingredients into a shaker with ice and shake.', 'Strain into a cocktail glass.', 'Garnish with a brandied cherry.']",Fruity,"[['I recommend dialing back the lemon juice to 1/2 oz, and increasing the Creme de violette to 1/2 oz.'], [""Same here - I've always doubled the violette and backed off the lemon otherwise the sour overpowers the other subtleties.""], [""I agree with the doubling of the violet. We found the violet gets washed out with this recipe, and the point of the Aviation cocktail is the violet. It's what gives it its character.""], ['However, I find the amount of lemon is fine with the doubled violet, but every cocktail recipe should be adjusted to what works for the person drinking it.'], ['Definitely. Needs more than 1/4 oz violette'], [""I agree, I also like it with less maraschino. I find it a bit too cloying for me. I also don't think creme yvette subs very well. This is also good shaken with an egg white.""], [""My preferred recipe is:\n2oz Broker's Gin (I'd put it against a high dollar gin any day)\n¾oz lemon juice\n⅔oz Luxardo Maraschino liqueur\n¼oz Rothman and Winter Creme de Violette""], ['Garnish with a Luxardo cherry.'], [""It's a little sweeter than the typical dry Aviation.""], ['My preferred balance is 2 gin, .5 lemon juice, .25 luxardo liqueur and .25 creme de violette. Naturally, the garnish is a luxardo cherry. Traditionally on a visual level, the color of this cocktail should be a hazy pale shade of lavender, bearing a striking resemblance to a clouded sky. Hence the name.'], ['I used lime instead of lemon juice and I will definitely add a little more violette on my next one!']]"
Amaretto French 75,https://www.liquor.com/recipes/amaretto-french-75/,"{'Nikka Coffey gin': '11/2 ounce', 'amaretto': '1/2 ounce', 'fesh lemon juice': '3/4 ounce', 'brut sparkling wine': '2 ounce'}","['For this twist on the classic French 75, swapping out simple syrup for amaretto lends a “lush toasty note,” says Ryan Ward, the beverage director at Momofuku CCDC in Washington, D.C. He prefers Nikka Coffey gin, which has lots of citrus and green pepper botanicals from sansho peppers, a relative of the Szechuan peppercorn. “Amaretto isn’t just almond; it has notes of vanilla, citrus and some baking spice.”', 'This recipe originally appeared as part of “What the #$@! Do I Do with This? Amaretto: What It Is and How to Use It.”']","['Add all ingredients except the sparkling wine into a shaker with ice and shake until well-chilled.', 'Strain into a coupe glass.', 'Top with the sparkling wine.', 'Garnish with a lemon curl.']",Fruity,NULL
Peeping Tom,https://www.liquor.com/recipes/peeping-tom/,"{'Old Tom gin': '11/2 ounce', 'Crème de violette': '1/2 ounce', 'Fresh lemon juice': '1 ounce', 'Simple syrup': '3/4 ounce'}","['Peeps, those oddly addictive marshmallow candies that look like conjoined chicks with a staring problem, are usually the last thing left in the Easter basket. This holiday, turn them into a cocktail garnish with this festive riff on the Aviation.']","['Add all ingredients into a shaker with ice and shake until well-chilled.', 'Strain into a coupe.', 'Garnish with 2 Peeps marshmallow candies.']",Fruity,NULL
Hot Blooded,https://www.liquor.com/recipes/hot-blooded/,"{'Rye whiskey': '2 ounce', 'Ancho Reyes ancho chile liqueur': '1/2 ounce', 'Fresh lime juice': '1/2 ounce', 'Blood orange juice': '1/2 ounce', 'Simple syrup': '1/2 ounce', 'Hot sauce': '4 dash'}","['Hot sauce and whiskey might sound like strange cocktail bedfellows, but here they blend nicely with blood orange juice and and chile liqueur for a warming drink of a different stripe.']","['Add all ingredients into a shaker with ice and shake until well-chilled.', 'Strain into a coupe.', 'Garnish with skewered heart-shaped blood orange and lime peels.']",Fruity,NULL
Amaretto Sour,https://www.liquor.com/recipes/amaretto-sour/,"{'amaretto liqueur': '11/2 ounce', 'cask-proof bourbon': '3/4 ounce', 'Fresh lemon juice': '1 ounce', 'Simple syrup': '1tsprich ounce', 'egg white': '1/2 ounce'}","['The Amaretto Sour gets a bad rap. Too often, it’s overly sweet and relies on premade sour mix. We enlisted Portland mixologist Jeffrey Morgenthaler to give us his take on the classic Amaretto Sour. What he came up with is nothing short of magic. This drink turns out frothy, sweet, sour, nutty and strong.', 'Combining amaretto with bourbon, fresh lemon juice, rich simple syrup and egg white creates a perfectly balanced Amaretto Sour. What are you waiting for? Go nuts with our recipe below.']","['Add all ingredients into a shaker and dry-shake (no ice).', 'Add ice and shake again until chilled.', 'Strain into a rocks glass over fresh ice.', 'Garnish with a lemon twist and 2 skewered brandied cherries.']",Fruity,"[['Yep! Still really sweet. I upped the bourbon by half an oz. That really helped. Also, I prefer an orange slice instead of more lemon flavor.']]"
Witches’ Brew,https://www.liquor.com/recipes/witches-brew/,"{'Islay scotch': '2 ounce', 'Fino sherry': '1/2 ounce', 'Fresh lemon juice': '1 ounce', 'Simple syrup': '1/2 ounce', 'Beet juice': '1/2 ounce'}","['So many Halloween cocktails sacrifice balance for boo! Not the case with the Witches’ Brew, a smoky scotch sour doused with fino sherry and beet juice, which bubbles violently when served in a glass pipe with dry ice. But if special effects in your drink give you the heebie-jeebies, skip them. This Halloween cocktail is just as much of a treat without the tricks.']","['Add all ingredients except the beet juice into a shaker with ice and shake until chilled.', 'Strain into a glass pipe or rocks glass over fresh ice.', 'Top with the beet juice.', '*Dry ice: For the full Halloween effect, drop a small cube of dry ice into the glass using tongs or sturdy gloves. Never use bare hands. Wait for the smoking to stop and the ice to completely melt before drinking your cocktail. Never ingest dry ice.']",Smoky,NULL
Smoky Martini,https://www.liquor.com/recipes/smoky-martini/,"{'Gin': '21/2 ounce', 'Blended Scotch whisky': '1/4 ounce'}",['Replace the vermouth in a classic Martini with scotch and you get something altogether different.'],"['Add both ingredients to a mixing glass and fill with ice.', 'Stir, and strain into a Martini glass.', 'Garnish with a lemon twist.']",Smoky,NULL
Whisky in Church,https://www.liquor.com/recipes/whisky-in-church/,"{'Ardbeg 10 yr Islay Scotch': '2 ounce', 'Oloroso sherry': '3/4 ounce', 'Grade-b maple syrup': '1 barspoon', 'Smoked cherry bitters': '6 dash'}","['Though a bit rare, this smoky whisky cocktail is delicious when made well.']","['Stir all ingredients together with ice.', 'Serve over fresh ice, and add a lemon twist for garnish.']",Smoky,NULL
Smoke Break,https://www.liquor.com/recipes/smoke-break/,"{'Cherrywood chips': 'NULL', 'W L  Weller Special Reserve bourbon': '2 ounce', 'Cream sherry': '3/4 ounce', 'Carpano Antica Formula vermouth': '1/2 ounce', 'Woodford Reserve spiced cherry bourbon-barrel-aged bitters ': '2 dash', 'Angostura bitters': '1 dash'}","['Jake Larowe, the bar manager at Birds & Bees in Los Angeles, says he wanted to do a decadent cocktail in a playful way. This Manhattan riff is added to a decanter that’s smoked with cherrywood. It reminds him of waiting tables in college and taking that quick cigarette break outside after the rush is over. “We wanted to create the cocktail that you look forward to after a long day at work,” he says.', 'This recipe originally appeared as part of “4 Smart Ways to Smoke Your Bourbon Cocktails.”']","['Using a smoking gun and the cherrywood chips, add smoke to a glass decanter, then cover top of decanter to capture smoke.', 'Add remaining ingredients and ice into a mixing glass and stir until well-chilled.', 'Strain into prepared decanter, cap and serve in a rocks glass over a large ice cube.', 'Garnish with a tray of dark chocolate and dried black cherries.']",Smoky,NULL
Butter & Smoke,https://www.liquor.com/recipes/butter-and-smoke/,"{' Thyme': '1 sprig ', 'Pumpkin-butter-infused fat-washed bourbon': '2 ounce', 'Tempus Fugit Gran Classico bitter apéritif': '1/2 ounce', 'Fee Brothers cranberry bitters': '5 dash'}","['Smoking a cocktail glass using a lit sprig of a stalky herb like thyme, rosemary or lavender not only adds flavor but is a fun parlor trick for a cocktail party. “This combination is perfect because the homemade pumpkin butter adds depth and richness to the bourbon, along with a touch of fall spice,” says Zachary Gross, the beverage director at Sen Sakana in New York City. “This whole combination is completed by smoking the cocktail with thyme, which is another essential fall flavor.', 'This recipe originally appeared as part of “4 Smart Ways to Smoke Your Bourbon Cocktails.”']","['Light a thyme sprig using a kitchen torch, place it inside a rocks glass, and set the rocks glass upside down on a granite countertop or other fireproof surface.', 'Add remaining ingredients into a mixing glass with ice and stir until well-chilled.', 'Strain into prepared glass over a large ice cube and swirl to incorporate smoke.', 'Garnish with a thyme sprig and cranberries.', '*Pumpkin-butter-infused fat-washed bourbon: Add 2 15-oz cans of pumpkin purée, 2/3 cup coconut sugar or organic brown sugar, 1/4 cup Grade A maple syrup, 1/2 cup unsweetened apple juice, 1 tbsp fresh lemon juice, 2 1/2 tsp pumpkin pie spice, 1/2 tsp ground cinnamon and a pinch of sea salt to a large saucepan or pot over medium-high heat and stir to combine. Once the mixture begins to bubble, reduce heat to low and simmer for 20 minutes, stirring occasionally. Remove from heat, let cool completely and transfer to a large glass container. (Keeps in refrigerator for up to 2 weeks.) Spread the pumpkin butter out on a large pan with a high rim. Pour a 750 mL bottle of bourbon on top, cover and let it infuse for an hour. Place the pan in the freezer to allow the alcohol to separate. Strain out solids and put it in a container.']",Smoky,NULL
Loaded Pistol,https://www.liquor.com/recipes/loaded-pistol/,"{'mezcal': '11/2 ounce', 'sweet vermouth': '3/4 ounce', 'Strega ': '1/2 ounce', 'grapefruit bitters': '1 dash'}","['This cocktail by Erick Castro, the co-founder of San Diego’s Polite Provisions, uses grasshopper salt as a rim.', 'This recipe originally appeared as part of “Infused Salts Are the Next Big Cocktail Ingredients.”']","['Add all ingredients into a mixing glass with ice and stir for 30 seconds.', 'Strain into double Old Fashioned glass over a large ice cube.', 'Garnish with sprinkle of grasshopper salt.', '*Grasshopper salt: In a blender, add 1/2 cup flaky sea salt and 2 tsp dehydrated grasshoppers. Set blender to pulse and blend for 7-12 seconds or until grasshoppers and salt are well-mixed. Store and seal grasshopper salt in airtight container.']",Smoky,NULL
Revenant,https://www.liquor.com/recipes/revenant/,"{'Fee Brothers Aztec chocolate bitters': '2 dash', 'Fee Brothers cardamom bitters': '2 dash', 'Blanton’s bourbon': '1 ounce', 'Pierre Ferrand dry curaçao': '1 ounce', 'Cocchi Barolo chinato': '1 ounce'}","['John Filkins, the beverage director at Officina and Masseria in Washington, D.C., wanted to do a richer version of a Boulevardier, including adding a whiff of smoke. He boils Fee Brothers. Aztec chocolate bitters and cardamom bitters, taking advantage of the fact that since they’re both glycerin-based they smoke but don’t burn the way those made from alcohol would. A snifter is filled with smoke and covered with a coaster, and the drink is then poured tableside from a carafe.', '“Chinato is a great replacement for vermouth and adds an herbal complexity, [while] dry curaçao helps to lift it,” says Filkins. “The smoke adds a wow factor when it goes to the table, and chocolate and cardamom bring aromatic complexity and warm baking spices.”', 'This recipe originally appeared as part of “4 Smart Ways to Smoke Your Bourbon Cocktails.”']","['Heat an empty Turkish coffeepot. When it begins to steam, add both bitters.', 'When it begins to smoke, fill a chilled snifter with the smoke and cover with a coaster.', 'Add remaining ingredients and ice into a mixing glass and stir until well-chilled.', 'Remove coaster from prepared glass and strain drink into it.']",Smoky,NULL
Rock Da Boat,https://www.liquor.com/recipes/gentleman-jack-rock-da-boat/,"{'Gentleman Jack whiskey': '11/2 ounce', 'Banana liqueur': '1/2 ounce', 'Fresh lemon juice': '3/4 ounce', 'Mesquite-smoked orgeat': '1/2 ounce', 'Fresh pineapple juice': '1/4 ounce'}","['Egg white might be missing from the Rock Da Boat, but Upshaw’s house-made mesquite-smoked orgeat gives it the texture you expect from a classic Whiskey Sour. Adding that to the already-irresistible mix of Gentleman Jack, banana liqueur, and lemon and pineapple juice leads to a bold and original cocktail.']","['Add all ingredients into a shaker and dry-shake (no ice) for 10 seconds.', 'Add ice and shake again for 10 more seconds.', 'Fine-strain into chilled coupe glass.', 'Garnish with a dehydrated lemon wheel soaked in Angostura bitters.', '*Mesquite-smoked orgeat: Toast 8 oz almonds at 350 degrees Fahrenheit on baking sheet in the oven. Remove from oven and blend and soak in 16 oz hot water for 10 minutes. Blend again and strain through cheesecloth. Add 1/4 oz cognac, 1/4 oz amaretto, 1/8 tsp orange blossom water for every 12 oz “almond milk” made.']",Smoky,NULL
Tennessee Tuxedo,https://www.liquor.com/recipes/george-dickel-tennessee-tuxedo/,"{'George Dickel No  12 whisky': '11/2 ounce', 'Amaro': '1/2 ounce', 'Pear liqueur': '1/2 ounce', 'Smoked maple syrup': '1 tsp', 'Peach bitters': '2 dash'}","['The Tennessee Tuxedo is the kind of recipe you pull out for special occasions. A splash of amaro and pear liqueur, along with a hint of smoked maple syrup, all serve to showcase the gold standard of Tennessee whisky, George Dickel No. 12.']","['Add all ingredients in a mixing glass with ice and stir.', 'Strain into a coupe glass.', 'Garnish with a lemon twist.']",Smoky,NULL
Smoked Honey Toddy,https://www.liquor.com/recipes/smoked-honey-toddy/,"{'Famous Grouse Smoky Black blended scotch ': '1 ounce', 'Smoked honey': '1 ounce', 'Freshly squeezed lemon juice': '11/4 ounce', 'Hot water': '3 ounce'}","[""There are two ways to make this warming winter drink: One involves smoking your own honey, and the other involves a cheat and buying already smoked honey (a good option is Bee Local white oak smoked honey). Jon Feuersanger, the beverage director of beast + bottle and Coperta in Denver, created this hot tipple that works with or without booze, and it's perfect for drinking as the snow falls during your next civilized holiday get-together.""]","['Add the scotch (optional), lemon juice, smoked honey and hot water to a tea cup, and stir.', 'Garnish with a rosemary sprig, lemon wheel and grated nutmeg.', '*Smoked honey: Heat 1 cup of water to a boil, and slowly stir in 2 cups of honey. Heat 1 hardwood charcoal briquette to white-hot temperature over a flame, and submerge it into the honey water. Allow to cool. Remove the briquette, and run the mixture through a fine-mesh strainer. Makes 4-6 servings.']",Smoky,NULL
Aquavit Buck,https://www.liquor.com/aquavit-buck-cocktail-recipe-4802019,"{'aquavit': '2 ounce', 'lime juice': '3/4 ounce', 'ginger syrup': '3/8 ounce', 'carrot cordial': '3/8 ounce', 'Soda': 'to top'}","['Zachary Faden, the head bartender at Brasserie Liberté in Washington, D.C, calls Grand Marnier and carrots a “wonderful and uncommon pairing.” Here, they’re used in a fun riff on the classic buck. “The Grand Marnier marries with the ginger and accentuates the herbaceous aquavit,” he says.', 'This recipe originally appeared as part of “What the #$@! Do I Do with This? Grand Marnier: What It Is and How to Use It.”']","['Add all ingredients into a mixing glass with ice and shake.', 'Strain into a Collins glass over fresh ice.', 'Garnish with a lime wedge.']",Herbaceous,"[['So this combination would be a perfect example of a cocktail on a sampler menu paired with a small bite like pastrami on dark Rye of a beet bite. The Aquvit flavor would be new to so many patrons and it is a delightful change of pace. Something that says ""Hey now"". I think its very original']]"
Re:Birth,https://www.liquor.com/rebirth-cocktail-recipe-4843472,"{'tartaric acid solution': '4 dash', 'blackberry sage tea syrup': '1/2 ounce', 'Singani 63 brandy': '1/4 ounce', 'Distilleria Gualco Camomila ': '1/4 ounce', 'St  George pear brandy': '1/2 ounce', 'Kurosawa nigori sake': '1 ounce'}","['“Don’t be intimidated by using other acids,” says Vinny Starble, the head bartender at Bad Hunter in Chicago. “Get your hands on some powders, verjus, still wine, vinegar, etc., and start mixing and tasting. The more you taste how these ingredients interact with cocktails, the stronger your palate gets at understanding the base-level balance between sugar, spirit and acid.” In this cocktail, he uses a tartaric acid solution to balance the herbaceous flavors of chamomile liqueur and a blackberry sage tea syrup.\xa0', ""“There's so much room for experimentation,” says Starble. “And if we as a community all start working with different ingredients, we can really change the way the next generation thinks about cocktails.”\xa0"", 'This recipe originally appeared as part of “Alternative Acids: How and Why to Use Them in Your Bar Program.”']","['Add all ingredients into a rocks glass.', 'Fill with crushed ice and swizzle until chilled.', 'Garnish with edible flowers.', 'Optional: Aromatize with ""forest floor"" spray (spruce tips, rosemary, herbal liqueur).']",Herbaceous,NULL
Tom Yum on a Rock,https://www.liquor.com/recipes/tom-yum-on-a-rock/,"{'Lime': '1 wedge', 'Makrut lime leaf': '1', ' Chopped lemongrass ': '1 stalk', 'Fresh lime juice': '1 ounce', 'Beluga vodka': '13/4 ounce', 'Cointreau': '2/3 ounce', 'Palm sugar syrup ': '2/3 ounce'}","['There’s nothing quite like this tangy, spicy sipper at Six Senses resort bar The Den on Koh Yao Noi, Thailand, while taking in the sweeping views of Phang Nga Bay and the islands and rock formations in the distance. It’s reminiscent of the Thai hot and sour soup, and the drink’s secret weapon is TomYam syrup made from a closely guarded recipe. (“Tom” refers to the boiling process, while “yam” is a spicy and sour salad.”) It has been replaced here with palm sugar syrup. To amp up the aromatics, muddle more makrut and lemongrass, as well as some galangal and ginger.', 'This recipe originally appeared as part of “How to Turn Your Favorite Asian Dish into a Cocktail.”']","['Rub the lime wedge on half of the outer rim of a rocks glass, and coat the glass in a mixture of equal-parts red pepper flakes and sea salt and set aside.', 'Add the makrut lime leaf, lemongrass and lime juice into a shaker and muddle gently.', 'Add the vodka, Cointreau, syrup and ice and shake until well-chilled.', 'Double-strain into the prepared glass over fresh ice.', 'Garnish with a lime wheel and red chile pepper on a bamboo pick.']",Herbaceous,[['33/50 = 2/3-oz ???']]
Honey Winter Bourbon,https://www.liquor.com/recipes/bottled-in-bond-honey-winter-bourbon/,"{'Bottled-in-Bond bourbon': '2 ounce', 'Honey-sage syrup': '11/2 ounce'}","['Sure, you can enjoy the tradition and flavor of Bottled-in-Bond bourbon neat or on the rocks. But try mixing the one-of-a-kind Kentucky bourbon—made from the oldest continuously run Kentucky distillery under the same ownership according to the rules outlined in the Bottled-in-Bond Act of 1897—with a delicious honey-sage syrup. This homemade ingredient is just the thing to elevate a rare bourbon.']","['Pour bourbon and honey-sage syrup over ice.', 'Twist orange peel over glass to release its oils.', 'Garnish with the peel and a fresh sage leaf.', '*Honey-sage syrup: Add 1 cup water, 1⁄2 cup honey and 10-12 sage leaves to a pot and bring to a boil. Reduce to low and simmer for three minutes. Turn off heat and let syrup cool.']",Herbaceous,NULL
CBD Gin & Tonic,https://www.liquor.com/recipes/cbd-gin-and-tonic/,"{'Tanqueray Rangpur gin': '2 ounce', 'Aurora hemp-infused beverage': '4 ounce'}","['Who doesn’t love a classic Gin & Tonic? The two-ingredient dynamo is also an ideal complement for CBD’s funky notes. Experiment with different gins to see what works best for you, but an especially citrusy selection like Tanqueray Rangpur gin does a good job of taming CBD’s bold tones.', 'This recipe uses a premade CBD elixir. You can also use CBD-infused water, which you can find online. Look for products with at least 10 milligrams of CBD to feel any effects, though 25 milligrams seem to be an ideal dose. Be sure to keep in mind that CBD can take up to two hours to take full effect.', 'This recipe originally appeared as part of “3 Simple CBD Cocktails Anyone Can Make.”']","['Pour all ingredients into a highball glass over ice and stir well.', 'Garnish with a lime wheel and rosemary sprig.']",Herbaceous,NULL
Conflict & Compromise,https://www.liquor.com/recipes/conflict-and-compromise/,"{'Tequila Ocho plata': '11/2 ounce', 'Midori': '3/4 ounce', 'fresh lime juice': '3/4 ounce', 'agave nectar': '1/2 ounce', 'jalapeño pepper': '2 slice', 'cilantro': '7 slice'}","['“[Midori] lends itself to all kinds of infusions and plays well with herbs, spices [and] heat like cayenne,” says Brock Schulte, the bar director at The Monarch in Kansas City, Mo. “I like to use it with cilantro and jalapeño for interesting Margarita-style variations,” as in this cocktail.', 'This recipe originally appeared as part of “What the #$@! Do I Do with This? Midori: What It Is and How to Use It.”']","['Add all ingredients into a shaker with ice and hard-shake until well-chilled.', 'Double-strain into a rocks glass over crushed ice.', 'Garnish with a tight bunch of cilantro.']",Herbaceous,NULL
CBD Moscow Mule,https://www.liquor.com/recipes/cbd-moscow-mule/,"{'Vodka': '2 ounce', 'Fresh lime juice': '1 ounce', 'CBD-ginger syrup': '33/100 ounce', 'Ginger beer': 'to top'}","['CBD is very earthy, which can make it tricky to pair with other ingredients. Luckily, the freshness of ginger complements it perfectly. Throwing some much needed citrus into the mix evens out the whole ensemble, which is why a Moscow Mule is a great CBD drink pairing. The end result is a cocktail that’s refreshing, easy on the stomach and ideal for minimizing next-day hangovers.', 'This recipe originally appeared as part of “3 Simple CBD Cocktails Anyone Can Make.”']","['Fill a chilled copper mug with ice.', 'Add vodka, lime juice and CBD-ginger syrup with ice and stir.', 'Top with ginger beer.', 'Garnish with a mint sprig and lime wedge.', '*CBD-ginger syrup: Bring 1/2 cup water to boil in small saucepan. Add 1/2 cup sugar and stir until dissolved. Add 3-inch stem of fresh ginger and 2 g ground decarboxylated dried cannabis (CBD) flower**. Cover and reduce to simmer for 30 minutes. Remove from heat and let cool. Strain through cheesecloth into jar and seal. Store in refrigerator up to one month.', '**Decarboxylate dried cannabis (CBD) flower: Loosely break up cannabis flower and place on rimmed baking sheet. Bake at 240 degrees F for 30 to 40 minutes. Set aside and let cool.']",Herbaceous,NULL
"What's Up, Doc",https://www.liquor.com/recipes/whats-up-doc/,"{'Bourbon': '13/4 ounce', 'Fernet-Branca': '1/4 ounce', 'Fresh carrot-ginger juice': '11/4 ounce', 'Fresh lemon juice': '3/4 ounce'}","['The dining concept at SaltRock Southwest Kitchen, in Sedona, Ariz.’s Amara resort and spa, rotates cocktails seasonally, moving from fruit-forward ones in the warmer months to rich, decadent, bittersweet sips as the temperature dips. Lead bartender Eduardo “Eddy” Rocha uses a Robot Coupe juicer for this peeper-friendly drink, which starts with pressed carrot-ginger juice that’s shaken with bourbon, Fernet-Branca and lemon juice and garnished with rosemary or thyme. “Nature has made a perfect cocktail in most fruit, so you only need to extract that essence and allow the drink to balance itself,” he says. “For example, a shot of bourbon and a freshly juiced apple is a favorite of mine—so simple yet so complete.”', 'This recipe originally appeared as part of “Cheat a Little During Dry January with These 3 Pressed Juice Cocktails.”']","['Add all ingredients into a shaker with ice and shake until well-chilled.', 'Double-strain into a rocks glass over a large ice cube.', 'Garnish with rosemary or thyme sprig.', '*Carrot ginger juice: Combine fresh-pressed carrot and ginger juice in a 5:1 ratio of carrot to ginger. Add sugar to taste.']",Herbaceous,NULL
Chrysanthemum,https://www.liquor.com/recipes/chrysanthemum/,"{'Dry vermouth': '2 ounce', 'Bénédictine': '1 ounce', 'Absinthe': '3 dash'}",['Don’t go looking for gin or whiskey in this century-old classic. Vermouth lands the starring role in a drink that’s light and herbal with a touch of absinthe to sharpen the edges.'],"['Pour ingredients into a mixing glass with ice and stir until cold.', 'Strain into a chilled coupe.', 'Garnish with an orange twist.']",Herbaceous,NULL
CBD Dirty Martini,https://www.liquor.com/recipes/cbd-dirty-martini/,"{'Dry gin': '2 ounce', 'Extra dry vermouth': '1/2 ounce', 'Green olive cocktail brine': '1/2 ounce', 'Fresh cracked black pepper': '1 dash'}","['One of the first—and some would argue, most polarizing—forms of CBD cocktails to emerge was the CBD float. Popularized by innovative bartenders, floating CBD oil works best when it’s paired with strong acidic flavors that cut through its piney tones. The olive brine in this CBD version of a Dirty Martini does the job nicely. Using raw CBD oil rather than a syrup also ensures you’re getting the maximum flavor (and any terpenes) from the CBD as it has been minimally processed or heated.', 'This recipe originally appeared as part of “3 Simple CBD Cocktails Anyone Can Make.”']","['Add all ingredients into a mixing glass with ice and stir until well-chilled.', 'Strain into a chilled Martini or coupe glass.', 'Garnish with a skewered green cocktail olive, 3 drops of CBD oil (such as House of Spain) and a dash of cracked black pepper.']",Herbaceous,NULL
Forest Sprite,https://www.liquor.com/recipes/forest-sprite/,"{'Citadelle gin': '11/2 ounce', 'Fresh lemon juice': '1/2 ounce', 'Pine syrup': '1/2 ounce', 'Seltzer': 'to top', 'Cocktailpunk Alpino cocktail bitters': '3 dash'}","[""This whimsical pine-laced gin cocktail tastes like someone folded up the forest floor and put it in a glass. Using a floral juniper-forward gin works well with heavy pine syrup, which you can make yourself by harvesting new fronds from that tree outside. Drink this after tromping through the woods, by the fire or whenever you want a winter drink that's also refreshing."", 'This recipe originally appeared as part of “6 Gin Drinks Perfect for Sipping by the Fireplace.”']","['Add all ingredients except the seltzer into a mixing glass with ice and stir well.', 'Strain into a Collins glass over ice.', 'Top with the seltzer and bitters.', 'Garnish with a lemon twist and pine sprig.', '*Pine syrup: In a medium pot, add 1/4 cup roughly chopped conifer tips to 1 cup boiling water and 1 cup granulated sugar. Stir until sugar dissolves, remove heat and let cool for 30 minutes. Strain into a sealable container and refrigerate. Good for up to 2 weeks.']",Herbaceous,NULL
Bourbon Rosemary Punch,https://www.liquor.com/recipes/bourbon-rosemary-punch/,"{'Rosemary-infused Aperol ': '1 bottle', 'Bourbon': '12 ounce', 'Honey syrup': '6 ounce', 'Grapefruit juice': '6 ounce', 'Dry sparkling wine ': '1 bottle', 'Soda water ': '1 bottle'}","['The prettiest punches aren’t always the tastiest. Not the case with this party-size bourbon-Aperol number. It’s got everything you want from a large-format cocktail: fresh, seasonal flavors and bright, beautiful garnishes, plus a whole lot of bubbles to make the whole thing feel more festive.']","['Combine the first four ingredients in a punch bowl and add large ice cubes.', 'Top with the sparkling wine and soda water.', 'Garnish with grapefruit wheels and rosemary sprigs.', '*Rosemary-infused Aperol: Place 4 sprigs of rosemary in a 750 mL bottle of Aperol and let sit for 6 hours at room temperature, then strain out herbs.']",Herbaceous,NULL
Lounge Chair Afternoon,https://www.liquor.com/recipes/lounge-chair-afternoon/,"{'Croft pink port': '11/2 ounce', 'Siete Leguas añejo tequila': '3/4 ounce', 'Grapefruit juice': '3/4 ounce', 'Fresh lemon juice': '1/2 ounce', 'Simple syrup': '1/2 ounce'}","['“Pink port has lovely hints of fresh berries and a light natural sweetness and makes for very sessionable cocktails,” says Lulu Martinez, director of events for Liquid Productions in Aston, Pa. Straddling somewhere between a white and a ruby, this style works with everything from gin and vodka to tequila and rum. “Port’s lower alcohol levels with vibrant flavors add a fantastic component for playing off other spirits.”', 'This recipe originally appeared as part of “What the #$@! Do I Do with This? Port: What It Is and How to Use It.”']","['Add all ingredients into a shaker with ice and shake until well-chilled.', 'Strain into a double Old Fashioned glass over fresh ice.', 'Garnish with half of a grapefruit wheel.', '*Tarragon simple syrup: Combine 1 cup white sugar and 1 cup water in a small saucepan. Bring to a boil, reduce heat and simmer until sugar is dissolved. Remove from the heat and add 1/4 cup fresh tarragon sprigs. Steep for 15 minutes or until desired flavor is achieved, then strain out solids.']",Herbaceous,NULL
Jingle Ball,https://www.liquor.com/recipes/jingle-ball/,"{'Pine-infused vodka': '2 ounce', 'Soda water': '4 ounce', 'Cranberry juice': '1/4 ounce'}","['Americans buy somewhere in the neighborhood of 30 million real Christmas trees a year—and they all wind up in the trash. This season, squeeze a little more fun from your holiday flora with this pine-infused cocktail. All you need are a few fresh twigs, a bottle of vodka and enough imagination to get you through the next six weeks in one piece. Here’s to branching out!']","['Fill a small bowl or plate with crushed ice.', 'Place a large holiday ornament in the middle of the ice and remove the top.', 'Add 2 pine sprigs and 8 fresh cranberries.', 'Pour the chilled pine-infused vodka into the ornament.', 'Top with the chilled soda water.', 'Finish with the cranberry juice.', 'Serve with a straw.', '*Pine-infused vodka: Add 3 large pine sprigs into a 750 mL bottle of unflavored vodka, and let sit at room temperature for 24 hours. Strain out sprigs, and store in the freezer indefinitely.']",Herbaceous,NULL
Mint-Basil Limeade,https://www.liquor.com/recipes/mint-basil-limeade/,"{'basil leaves': '4 Large', 'Mint leaves': '4', 'Simple syrup': '1 ounce', 'Fresh lime juice': '1 ounce', 'Soda water': 'to top'}","['Get all the flavor of a refreshing sipper minus the hangover with this easy-to-make mocktail.', 'This recipe originally appeared as part of “5 Essential Mocktails for the Best Kind of January Recovery.”']","['Gently muddle the basil, mint and simple syrup in a mixing tin, add ice, and shake until well-chilled.', 'Double-strain into a Collins glass over fresh ice.', 'Top with the soda water.', 'Garnish with a lime wheel.']",Herbaceous,NULL
